Design Name,Backend Phase,Corner1,Power1,Corner2,Power2,Corner3,Power3
VexiiRiscv_41,cts,Fast,3390700.0,Slow,1414000.0,Typical,2197800.0
VexiiRiscv_41,placement,Fast,70712000.0,Slow,47964000.0,Typical,57785000.0
VexiiRiscv_41,chipfinish,Fast,3695000.0,Slow,1524100.0,Typical,2401300.0
VexiiRiscv_41,route,Fast,3694000.0,Slow,1523800.0,Typical,2400800.0
VexiiRiscv_41,floorplan,Fast,72698000.0,Slow,46435000.0,Typical,58214000.0
VexiiRiscv_854,cts,Fast,9919100.0,Slow,3623300.0,Typical,6132100.0
VexiiRiscv_854,placement,Fast,75529000.0,Slow,50181000.0,Typical,60627000.0
VexiiRiscv_854,chipfinish,Fast,10517000.0,Slow,3804200.0,Typical,6518000.0
VexiiRiscv_854,route,Fast,10511000.0,Slow,3803100.0,Typical,6515200.0
VexiiRiscv_854,floorplan,Fast,73754000.0,Slow,47806000.0,Typical,59827000.0
VexiiRiscv_416,cts,Fast,5612400.0,Slow,1848600.0,Typical,3485700.0
VexiiRiscv_416,placement,Fast,71649000.0,Slow,48752000.0,Typical,58199000.0
VexiiRiscv_416,chipfinish,Fast,6497700.0,Slow,2073900.0,Typical,3993200.0
VexiiRiscv_416,route,Fast,6495000.0,Slow,2073400.0,Typical,3991900.0
VexiiRiscv_416,floorplan,Fast,77395000.0,Slow,46396000.0,Typical,59461000.0
VexiiRiscv_79,cts,Fast,10534000.0,Slow,3393200.0,Typical,6531700.0
VexiiRiscv_79,placement,Fast,75471000.0,Slow,51068000.0,Typical,60246000.0
VexiiRiscv_79,chipfinish,Fast,12176000.0,Slow,3814100.0,Typical,7490800.0
VexiiRiscv_79,route,Fast,12173000.0,Slow,3813400.0,Typical,7489300.0
VexiiRiscv_79,floorplan,Fast,5629200000.0,Slow,81990000.0,Typical,1382600000.0
VexiiRiscv_654,cts,Fast,683680.0,Slow,373650.0,Typical,493150.0
VexiiRiscv_654,placement,Fast,68563000.0,Slow,46634000.0,Typical,56586000.0
VexiiRiscv_654,chipfinish,Fast,694860.0,Slow,380380.0,Typical,502770.0
VexiiRiscv_654,route,Fast,694680.0,Slow,380320.0,Typical,502670.0
VexiiRiscv_654,floorplan,Fast,68551000.0,Slow,45836000.0,Typical,56575000.0
VexiiRiscv_606,cts,Fast,552100.0,Slow,305840.0,Typical,398020.0
VexiiRiscv_606,placement,Fast,68415000.0,Slow,46554000.0,Typical,56497000.0
VexiiRiscv_606,chipfinish,Fast,556400.0,Slow,309170.0,Typical,402350.0
VexiiRiscv_606,route,Fast,556220.0,Slow,309080.0,Typical,402230.0
VexiiRiscv_606,floorplan,Fast,68403000.0,Slow,45782000.0,Typical,56488000.0
VexiiRiscv_175,cts,Fast,5037900.0,Slow,2031800.0,Typical,3209500.0
VexiiRiscv_175,placement,Fast,71906000.0,Slow,48586000.0,Typical,58505000.0
VexiiRiscv_175,chipfinish,Fast,5435500.0,Slow,2169000.0,Typical,3474300.0
VexiiRiscv_175,route,Fast,5434200.0,Slow,2168700.0,Typical,3473700.0
VexiiRiscv_175,floorplan,Fast,73185000.0,Slow,46898000.0,Typical,58768000.0
VexiiRiscv_271,cts,Fast,1157200.0,Slow,603070.0,Typical,804600.0
VexiiRiscv_271,placement,Fast,68954000.0,Slow,46817000.0,Typical,56832000.0
VexiiRiscv_271,chipfinish,Fast,1173200.0,Slow,613690.0,Typical,819920.0
VexiiRiscv_271,route,Fast,1173000.0,Slow,613600.0,Typical,819800.0
VexiiRiscv_271,floorplan,Fast,68945000.0,Slow,46017000.0,Typical,56821000.0
VexiiRiscv_42,cts,Fast,7966800.0,Slow,2700000.0,Typical,4968900.0
VexiiRiscv_42,placement,Fast,73556000.0,Slow,49758000.0,Typical,59290000.0
VexiiRiscv_42,chipfinish,Fast,9067600.0,Slow,2983400.0,Typical,5613600.0
VexiiRiscv_42,route,Fast,9063700.0,Slow,2982600.0,Typical,5611700.0
VexiiRiscv_42,floorplan,Fast,73919000.0,Slow,47029000.0,Typical,59314000.0
VexiiRiscv_631,cts,Fast,1413900.0,Slow,660620.0,Typical,932190.0
VexiiRiscv_631,placement,Fast,1289800.0,Slow,648520.0,Typical,809830.0
VexiiRiscv_631,chipfinish,Fast,1445400.0,Slow,679740.0,Typical,961520.0
VexiiRiscv_631,route,Fast,1445200.0,Slow,679650.0,Typical,961370.0
VexiiRiscv_631,floorplan,Fast,1532900.0,Slow,523170.0,Typical,827020.0
VexiiRiscv_258,cts,Fast,704810.0,Slow,377920.0,Typical,510400.0
VexiiRiscv_258,placement,Fast,746810.0,Slow,380470.0,Typical,461620.0
VexiiRiscv_258,chipfinish,Fast,733520.0,Slow,390860.0,Typical,531510.0
VexiiRiscv_258,route,Fast,733320.0,Slow,390760.0,Typical,531370.0
VexiiRiscv_258,floorplan,Fast,697830.0,Slow,295510.0,Typical,435520.0
VexiiRiscv_742,cts,Fast,1424900.0,Slow,669650.0,Typical,944380.0
VexiiRiscv_742,placement,Fast,69141000.0,Slow,46953000.0,Typical,56928000.0
VexiiRiscv_742,chipfinish,Fast,1464300.0,Slow,692540.0,Typical,981080.0
VexiiRiscv_742,route,Fast,1464000.0,Slow,692410.0,Typical,980870.0
VexiiRiscv_742,floorplan,Fast,69117000.0,Slow,46043000.0,Typical,56908000.0
VexiiRiscv_482,cts,Fast,2047300.0,Slow,780980.0,Typical,1354900.0
VexiiRiscv_482,placement,Fast,1759300.0,Slow,1190800.0,Typical,938260.0
VexiiRiscv_482,chipfinish,Fast,2384700.0,Slow,888430.0,Typical,1565700.0
VexiiRiscv_482,route,Fast,2384100.0,Slow,888230.0,Typical,1565300.0
VexiiRiscv_482,floorplan,Fast,16937000.0,Slow,1086200.0,Typical,5151100.0
VexiiRiscv_207,cts,Fast,555110.0,Slow,305530.0,Typical,399030.0
VexiiRiscv_207,placement,Fast,68421000.0,Slow,46557000.0,Typical,56499000.0
VexiiRiscv_207,chipfinish,Fast,559000.0,Slow,308950.0,Typical,403630.0
VexiiRiscv_207,route,Fast,558890.0,Slow,308900.0,Typical,403550.0
VexiiRiscv_207,floorplan,Fast,68413000.0,Slow,45782000.0,Typical,56491000.0
VexiiRiscv_85,cts,Fast,1065700.0,Slow,570900.0,Typical,757560.0
VexiiRiscv_85,placement,Fast,68917000.0,Slow,46809000.0,Typical,56801000.0
VexiiRiscv_85,chipfinish,Fast,1082300.0,Slow,582910.0,Typical,774630.0
VexiiRiscv_85,route,Fast,1082100.0,Slow,582830.0,Typical,774490.0
VexiiRiscv_85,floorplan,Fast,68897000.0,Slow,45985000.0,Typical,56788000.0
VexiiRiscv_571,cts,Fast,2168300.0,Slow,1028800.0,Typical,1451300.0
VexiiRiscv_571,placement,Fast,69799000.0,Slow,47285000.0,Typical,57328000.0
VexiiRiscv_571,chipfinish,Fast,2233900.0,Slow,1064600.0,Typical,1508300.0
VexiiRiscv_571,route,Fast,2233500.0,Slow,1064500.0,Typical,1508100.0
VexiiRiscv_571,floorplan,Fast,69762000.0,Slow,46312000.0,Typical,57303000.0
VexiiRiscv_740,cts,Fast,1554000.0,Slow,750940.0,Typical,1045100.0
