File Path,Corner1,Power1,Corner2,Power2,Corner3,Power3
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_646_100/VexiiRiscv_646_100_build/rpt/chipfinish.report_power,Fast,5.3899e+06,Slow,1.5969e+06,Typical,3.2958e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_646_100/VexiiRiscv_646_100_build/rpt/route.report_power,Fast,5.3882e+06,Slow,1.5964e+06,Typical,3.2949e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_646_100/VexiiRiscv_646_100_build/rpt/floorplan.report_power,Fast,2.1888e+08,Slow,2.8481e+06,Typical,5.4737e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_870_100/VexiiRiscv_870_100_build/rpt/cts.report_power,Fast,1.2234e+06,Slow,5.3556e+05,Typical,8.2507e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_870_100/VexiiRiscv_870_100_build/rpt/placement.report_power,Fast,1.1338e+06,Slow,7.0097e+05,Typical,6.4573e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_870_100/VexiiRiscv_870_100_build/rpt/chipfinish.report_power,Fast,1.3567e+06,Slow,5.8638e+05,Typical,9.1575e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_870_100/VexiiRiscv_870_100_build/rpt/route.report_power,Fast,1.3564e+06,Slow,5.8625e+05,Typical,9.1555e+05
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_870_100/VexiiRiscv_870_100_build/rpt/floorplan.report_power,Fast,9.5570e+06,Slow,1.1036e+06,Typical,3.3073e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_754_100/VexiiRiscv_754_100_build/rpt/cts.report_power,Fast,9.5892e+06,Slow,3.4638e+06,Typical,6.0376e+06
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_754_100/VexiiRiscv_754_100_build/rpt/placement.report_power,Fast,7.5020e+07,Slow,5.0419e+07,Typical,6.0199e+07
/nfs/share/home/tongliu/script-eval/build/VexiiRiscv_754_100/VexiiRiscv_754_100_build/rpt/chipfinish.report_power,Fast,1.0718e+07,Slow,3.7649e+06,Typical,6.7071e+06
